paragraph_id,label,commas_per_1000,semicolons_per_1000,colons_per_1000,em_dashes_per_1000,hyphens_per_1000,parentheses_per_1000,questions_per_1000,exclamations_per_1000,punctuation_marks_per_sentence
tale_of_two_cities_TFate _P1,Human,144.0677966101695,0.0,0.0,8.474576271186441,8.474576271186441,0.0,0.0,0.0,19.0
tale_of_two_cities_TFate _P1,AI,91.83673469387756,20.408163265306122,0.0,10.204081632653061,0.0,0.0,0.0,0.0,12.0
tale_of_two_cities_TFate _P2,Human,122.5296442687747,0.0,3.952569169960474,0.0,0.0,0.0,0.0,0.0,6.4
tale_of_two_cities_TFate _P2,AI,92.9203539823009,4.424778761061947,0.0,17.699115044247787,0.0,0.0,0.0,0.0,5.2
tale_of_two_cities_TFate _P3,Human,113.77245508982035,11.976047904191617,0.0,0.0,0.0,0.0,0.0,0.0,5.25
tale_of_two_cities_TFate _P3,AI,115.38461538461539,12.82051282051282,0.0,0.0,0.0,0.0,0.0,0.0,5.0
tale_of_two_cities_TFate _P4,Human,94.11764705882352,23.52941176470588,0.0,0.0,11.76470588235294,0.0,0.0,0.0,2.75
tale_of_two_cities_TFate _P4,AI,116.27906976744185,11.627906976744185,0.0,0.0,0.0,0.0,0.0,0.0,2.75
tale_of_two_cities_TFate _P5,Human,89.92805755395683,10.79136690647482,0.0,0.0,3.5971223021582737,0.0,3.5971223021582737,3.5971223021582737,3.4444444444444446
tale_of_two_cities_TFate _P5,AI,70.11070110701107,14.760147601476014,0.0,11.07011070110701,0.0,0.0,3.6900369003690034,3.6900369003690034,3.5
tale_of_two_cities_TFate _P6,Human,210.52631578947367,0.0,0.0,0.0,52.63157894736842,0.0,0.0,0.0,5.0
tale_of_two_cities_TFate _P6,AI,146.34146341463415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
tale_of_two_cities_TFate _P7,Human,116.02209944751381,0.0,0.0,11.049723756906078,38.67403314917127,11.049723756906078,0.0,0.0,8.0
tale_of_two_cities_TFate _P7,AI,80.45977011494253,5.747126436781609,0.0,11.494252873563218,0.0,11.494252873563218,0.0,0.0,4.75
tale_of_two_cities_TFate _P8,Human,137.5,0.0,12.5,0.0,12.5,0.0,0.0,0.0,3.25
tale_of_two_cities_TFate _P8,AI,135.80246913580245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75
tale_of_two_cities_TFate _P9,Human,25.64102564102564,0.0,0.0,0.0,25.64102564102564,0.0,0.0,0.0,0.4
tale_of_two_cities_TFate _P9,AI,27.027027027027028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
tale_of_two_cities_TFate _P10,Human,160.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,1.0
tale_of_two_cities_TFate _P10,AI,160.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,1.0
tale_of_two_cities_TFate _P11,Human,43.47826086956522,0.0,0.0,0.0,10.869565217391305,0.0,0.0,0.0,1.6666666666666667
tale_of_two_cities_TFate _P11,AI,35.294117647058826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
tale_of_two_cities_TFate _P12,Human,116.93548387096773,0.0,0.0,8.064516129032258,24.193548387096772,8.064516129032258,0.0,0.0,9.75
tale_of_two_cities_TFate _P12,AI,84.44444444444444,8.88888888888889,0.0,13.333333333333334,0.0,8.88888888888889,0.0,0.0,6.5
tale_of_two_cities_TFate _P13,Human,145.45454545454544,0.0,0.0,18.18181818181818,18.18181818181818,0.0,0.0,18.18181818181818,1.375
tale_of_two_cities_TFate _P13,AI,150.94339622641508,0.0,0.0,37.73584905660377,0.0,0.0,0.0,18.867924528301884,1.375
tale_of_two_cities_TFate _P14,Human,222.2222222222222,0.0,0.0,111.1111111111111,111.1111111111111,0.0,111.1111111111111,0.0,2.5
tale_of_two_cities_TFate _P14,AI,200.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,2.0
tale_of_two_cities_TFate _P15,Human,86.0215053763441,10.752688172043012,0.0,0.0,10.752688172043012,0.0,0.0,10.752688172043012,1.5714285714285714
tale_of_two_cities_TFate _P15,AI,72.91666666666667,10.416666666666666,0.0,0.0,0.0,0.0,0.0,10.416666666666666,1.2857142857142858
tale_of_two_cities_TFate _P16,Human,62.93706293706294,55.94405594405595,0.0,6.993006993006993,6.993006993006993,0.0,0.0,0.0,9.5
tale_of_two_cities_TFate _P16,AI,74.62686567164178,52.23880597014925,0.0,14.925373134328359,0.0,0.0,0.0,0.0,9.5
tale_of_two_cities_TFate _P17,Human,74.07407407407408,0.0,0.0,0.0,37.03703703703704,0.0,0.0,0.0,3.0
tale_of_two_cities_TFate _P17,AI,111.1111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
tale_of_two_cities_TFate _P18,Human,85.61643835616438,27.397260273972602,0.0,6.8493150684931505,13.698630136986301,0.0,0.0,0.0,5.571428571428571
tale_of_two_cities_TFate _P18,AI,90.57971014492753,32.608695652173914,0.0,7.246376811594203,0.0,0.0,0.0,0.0,5.142857142857143
tale_of_two_cities_TFate _P19,Human,129.41176470588238,11.76470588235294,0.0,0.0,0.0,0.0,0.0,0.0,6.0
tale_of_two_cities_TFate _P19,AI,81.39534883720931,11.627906976744185,0.0,0.0,0.0,0.0,0.0,0.0,4.0
tale_of_two_cities_TFate _P20,Human,86.1244019138756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5714285714285716
tale_of_two_cities_TFate _P20,AI,87.80487804878048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5714285714285716
tale_of_two_cities_TFate _P21,Human,95.65217391304348,13.043478260869565,0.0,8.695652173913043,13.043478260869565,0.0,0.0,0.0,3.75
tale_of_two_cities_TFate _P21,AI,65.78947368421052,13.157894736842104,0.0,17.543859649122805,0.0,0.0,0.0,0.0,2.75
tale_of_two_cities_TFate _P22,Human,126.31578947368422,0.0,0.0,0.0,10.526315789473683,0.0,0.0,0.0,3.25
tale_of_two_cities_TFate _P22,AI,79.54545454545455,0.0,0.0,22.727272727272727,0.0,0.0,0.0,0.0,2.25
tale_of_two_cities_TFate _P23,Human,111.1111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335
tale_of_two_cities_TFate _P23,AI,66.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333
tale_of_two_cities_TFate _P24,Human,138.88888888888889,0.0,0.0,27.777777777777775,27.777777777777775,0.0,0.0,0.0,3.5
tale_of_two_cities_TFate _P24,AI,85.71428571428571,0.0,0.0,28.57142857142857,0.0,0.0,0.0,0.0,2.0
tale_of_two_cities_TFate _P25,Human,105.55555555555556,5.555555555555555,0.0,0.0,11.11111111111111,0.0,0.0,0.0,3.142857142857143
tale_of_two_cities_TFate _P25,AI,80.92485549132948,17.341040462427745,0.0,0.0,0.0,0.0,0.0,0.0,2.4285714285714284
tale_of_two_cities_TFate _P26,Human,142.85714285714286,17.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,4.5
