paragraph_id,token_index,raw_token,clean_token,is_new_word,attribution,absolute_attribution,normalized_attribution,ai_probability,convergence_delta,rank
pride_and_prejudice_TFamil_P21,1,Her,Her,True,0.18032491207122803,0.18032491207122803,0.044177375733852386,0.999840259552002,-2.2021753787994385,3.0
pride_and_prejudice_TFamil_P21,2,Ġperformance,performance,True,0.07895065099000931,0.07895065099000931,0.019341932609677315,0.999840259552002,-2.2021753787994385,10.0
pride_and_prejudice_TFamil_P21,3,Ġwas,was,True,0.011985762044787407,0.011985762044787407,0.0029363634530454874,0.999840259552002,-2.2021753787994385,49.0
pride_and_prejudice_TFamil_P21,4,Ġagreeable,agreeable,True,0.1327325850725174,0.1327325850725174,0.03251784294843674,0.999840259552002,-2.2021753787994385,6.0
pride_and_prejudice_TFamil_P21,5,",",",",False,0.04269836097955704,0.04269836097955704,0.010460570454597473,0.999840259552002,-2.2021753787994385,22.0
pride_and_prejudice_TFamil_P21,6,Ġthough,though,True,0.09818743169307709,0.09818743169307709,0.02405470609664917,0.999840259552002,-2.2021753787994385,8.0
pride_and_prejudice_TFamil_P21,7,Ġnot,not,True,-0.0036646490916609764,0.0036646490916609764,0.0008977937395684421,0.999840259552002,-2.2021753787994385,61.0
pride_and_prejudice_TFamil_P21,8,Ġoutstanding,outstanding,True,0.1616203337907791,0.1616203337907791,0.03959498554468155,0.999840259552002,-2.2021753787994385,4.0
pride_and_prejudice_TFamil_P21,9,.,.,False,-0.27108776569366455,0.27108776569366455,0.06641314923763275,0.999840259552002,-2.2021753787994385,2.0
pride_and_prejudice_TFamil_P21,10,ĠAfter,After,True,0.004218895919620991,0.004218895919620991,0.0010335773695260286,0.999840259552002,-2.2021753787994385,60.0
pride_and_prejudice_TFamil_P21,11,Ġa,a,True,-0.041328053921461105,0.041328053921461105,0.01012486219406128,0.999840259552002,-2.2021753787994385,24.0
pride_and_prejudice_TFamil_P21,12,Ġsong,song,True,0.07501019537448883,0.07501019537448883,0.01837657019495964,0.999840259552002,-2.2021753787994385,12.0
pride_and_prejudice_TFamil_P21,13,Ġor,or,True,0.02945256419479847,0.02945256419479847,0.007215514313429594,0.999840259552002,-2.2021753787994385,30.0
pride_and_prejudice_TFamil_P21,14,Ġtwo,two,True,0.02856885828077793,0.02856885828077793,0.006999017205089331,0.999840259552002,-2.2021753787994385,33.0
pride_and_prejudice_TFamil_P21,15,Ġand,and,True,-0.017641998827457428,0.017641998827457428,0.004322071559727192,0.999840259552002,-2.2021753787994385,40.0
pride_and_prejudice_TFamil_P21,16,Ġbefore,before,True,-0.01704471930861473,0.01704471930861473,0.004175745416432619,0.999840259552002,-2.2021753787994385,41.0
pride_and_prejudice_TFamil_P21,17,Ġshe,she,True,-0.013660173863172531,0.013660173863172531,0.003346573794260621,0.999840259552002,-2.2021753787994385,45.0
pride_and_prejudice_TFamil_P21,18,Ġcould,could,True,-0.010003139264881611,0.010003139264881611,0.002450645435601473,0.999840259552002,-2.2021753787994385,50.0
pride_and_prejudice_TFamil_P21,19,Ġanswer,answer,True,0.0035394560545682907,0.0035394560545682907,0.0008671229588799179,0.999840259552002,-2.2021753787994385,62.0
pride_and_prejudice_TFamil_P21,20,Ġthe,the,True,0.004316022619605064,0.004316022619605064,0.0010573721956461668,0.999840259552002,-2.2021753787994385,59.0
pride_and_prejudice_TFamil_P21,21,Ġvarious,various,True,0.059395335614681244,0.059395335614681244,0.014551122672855854,0.999840259552002,-2.2021753787994385,17.0
pride_and_prejudice_TFamil_P21,22,Ġent,ent,True,0.07915650308132172,0.07915650308132172,0.019392365589737892,0.999840259552002,-2.2021753787994385,9.0
pride_and_prejudice_TFamil_P21,23,reat,reat,False,0.05985676497220993,0.05985676497220993,0.014664167538285255,0.999840259552002,-2.2021753787994385,16.0
pride_and_prejudice_TFamil_P21,24,ies,ies,False,0.029568996280431747,0.029568996280431747,0.00724403839558363,0.999840259552002,-2.2021753787994385,29.0
pride_and_prejudice_TFamil_P21,25,Ġto,to,True,0.023892851546406746,0.023892851546406746,0.0058534531854093075,0.999840259552002,-2.2021753787994385,36.0
pride_and_prejudice_TFamil_P21,26,Ġsing,sing,True,0.06625526398420334,0.06625526398420334,0.01623172126710415,0.999840259552002,-2.2021753787994385,13.0
pride_and_prejudice_TFamil_P21,27,Ġagain,again,True,0.017720099538564682,0.017720099538564682,0.00434120511636138,0.999840259552002,-2.2021753787994385,39.0
pride_and_prejudice_TFamil_P21,28,",",",",False,-0.008775397203862667,0.008775397203862667,0.0021498638670891523,0.999840259552002,-2.2021753787994385,55.0
pride_and_prejudice_TFamil_P21,29,Ġshe,she,True,0.05811936780810356,0.05811936780810356,0.014238527044653893,0.999840259552002,-2.2021753787994385,18.0
pride_and_prejudice_TFamil_P21,30,Ġyielded,yielded,True,0.03605303168296814,0.03605303168296814,0.008832546882331371,0.999840259552002,-2.2021753787994385,27.0
pride_and_prejudice_TFamil_P21,31,Ġthe,the,True,0.009961411356925964,0.009961411356925964,0.0024404225405305624,0.999840259552002,-2.2021753787994385,51.0
pride_and_prejudice_TFamil_P21,32,Ġinstrument,instrument,True,0.04973490536212921,0.04973490536212921,0.012184437364339828,0.999840259552002,-2.2021753787994385,21.0
pride_and_prejudice_TFamil_P21,33,Ġeagerly,eagerly,True,-0.0027305898256599903,0.0027305898256599903,0.0006689607398584485,0.999840259552002,-2.2021753787994385,63.0
pride_and_prejudice_TFamil_P21,34,Ġto,to,True,0.0632186010479927,0.0632186010479927,0.015487776137888432,0.999840259552002,-2.2021753787994385,15.0
pride_and_prejudice_TFamil_P21,35,Ġher,her,True,-0.013050347566604614,0.013050347566604614,0.00319717382080853,0.999840259552002,-2.2021753787994385,47.0
pride_and_prejudice_TFamil_P21,36,Ġsister,sister,True,0.0063600242137908936,0.0063600242137908936,0.0015581273473799229,0.999840259552002,-2.2021753787994385,56.0
pride_and_prejudice_TFamil_P21,37,ĠMary,Mary,True,0.0098921163007617,0.0098921163007617,0.002423446159809828,0.999840259552002,-2.2021753787994385,52.0
pride_and_prejudice_TFamil_P21,38,",",",",False,-0.029095249250531197,0.029095249250531197,0.007127976510673761,0.999840259552002,-2.2021753787994385,32.0
