paragraph_id,author,book,topic,label,ttr,hapax,flesch_kincaid_grade,sentence_length,semicolon_density,em_dash_density,exclamation_density,question_density,comma_density
40,austen,sense_and_sensibility,Logic vs Emotion,0,0.6390532544378699,81,7.077016875340231,15.181818181818182,0.0,0.011976047904191617,0.0,0.011976047904191617,0.11377245508982035
40,austen,sense_and_sensibility,Logic vs Emotion,1,0.6369047619047619,80,7.0713581599123785,15.090909090909092,0.0,0.012048192771084338,0.0,0.012048192771084338,0.10843373493975904
16,austen,pride_and_prejudice,Reputation,0,0.8076923076923077,16,7.180000000000003,13.0,0.0,0.0,0.0,0.0,0.038461538461538464
16,austen,pride_and_prejudice,Reputation,1,0.8076923076923077,16,7.180000000000003,13.0,0.0,0.0,0.0,0.0,0.038461538461538464
17,dickens,tale_of_two_cities,Mob Mentality,0,1.0,4,3.6700000000000017,4.0,0.0,0.0,0.0,0.25,0.0
17,dickens,tale_of_two_cities,Mob Mentality,1,1.0,4,3.6700000000000017,4.0,0.0,0.0,0.0,0.25,0.0
9,austen,sense_and_sensibility,Logic vs Emotion,0,0.8333333333333334,12,9.785555555555558,18.0,0.0,0.0,0.0,0.0,0.16666666666666666
9,austen,sense_and_sensibility,Logic vs Emotion,1,0.8333333333333334,12,9.785555555555558,18.0,0.0,0.0,0.0,0.0,0.1111111111111111
43,austen,emma,Female Independence,0,0.7625,51,19.3325,40.0,0.0,0.0,0.0,0.0,0.1
43,austen,emma,Female Independence,1,0.7625,51,19.3325,40.0,0.0,0.0,0.0,0.0,0.1
33,dickens,great_expectations,Ambition and Self-Improvement,0,0.8571428571428571,26,1.9775000000000027,5.333333333333333,0.0,0.0,0.0625,0.0,0.125
33,dickens,great_expectations,Ambition and Self-Improvement,1,0.8787878787878788,26,4.075757575757578,11.0,0.06060606060606061,0.0,0.030303030303030304,0.0,0.15151515151515152
1,dickens,great_expectations,Crime and Justice,0,0.75,29,10.207692307692309,26.0,0.0,0.0,0.0,0.019230769230769232,0.057692307692307696
1,dickens,great_expectations,Crime and Justice,1,0.8360655737704918,43,13.327950819672132,30.5,0.0,0.0,0.0,0.01639344262295082,0.13114754098360656
43,austen,pride_and_prejudice,Family Dynamics,0,0.6666666666666666,66,13.058064516129033,31.0,0.008064516129032258,0.0,0.0,0.0,0.11290322580645161
43,austen,pride_and_prejudice,Family Dynamics,1,0.7068965517241379,68,13.017982456140349,28.5,0.008771929824561403,0.0,0.0,0.0,0.07017543859649122
22,austen,pride_and_prejudice,Class Distinctions,0,0.9166666666666666,10,4.823333333333334,12.0,0.0,0.0,0.0,0.0,0.0
22,austen,pride_and_prejudice,Class Distinctions,1,0.9166666666666666,10,4.823333333333334,12.0,0.0,0.0,0.0,0.0,0.0
49,dickens,great_expectations,Coming of Age,0,0.7248322147651006,88,10.593373860182371,20.142857142857142,0.0070921985815602835,0.014184397163120567,0.0,0.0,0.07801418439716312
49,dickens,great_expectations,Coming of Age,1,0.7687074829931972,96,13.122631038026721,19.857142857142858,0.0,0.02158273381294964,0.0,0.0,0.08633093525179857
8,dickens,great_expectations,Ambition and Self-Improvement,0,0.6796875,67,9.739622047244094,25.4,0.007874015748031496,0.0,0.0,0.0,0.09448818897637795
8,dickens,great_expectations,Ambition and Self-Improvement,1,0.75,72,9.54547747747748,22.2,0.0,0.0,0.0,0.0,0.11711711711711711
28,dickens,great_expectations,Coming of Age,0,0.6347826086956522,56,15.894912280701757,38.0,0.03508771929824561,0.0,0.0,0.0,0.05263157894736842
28,dickens,great_expectations,Coming of Age,1,0.7155963302752294,62,23.52738532110092,54.5,0.03669724770642202,0.0,0.0,0.0,0.05504587155963303
7,austen,sense_and_sensibility,Love and Heartbreak,0,0.96,23,5.806666666666668,12.0,0.0,0.0,0.0,0.08333333333333333,0.0
7,austen,sense_and_sensibility,Love and Heartbreak,1,0.875,19,6.3384782608695645,11.5,0.0,0.0,0.0,0.08695652173913043,0.0
36,austen,pride_and_prejudice,Class Distinctions,0,0.8032786885245902,39,13.438709677419357,31.0,0.016129032258064516,0.0,0.0,0.0,0.08064516129032258
36,austen,pride_and_prejudice,Class Distinctions,1,0.8032786885245902,39,13.438709677419357,31.0,0.016129032258064516,0.0,0.0,0.0,0.08064516129032258
11,austen,sense_and_sensibility,Love and Heartbreak,0,0.8428571428571429,49,12.089375,21.333333333333332,0.03125,0.046875,0.015625,0.0,0.09375
11,austen,sense_and_sensibility,Love and Heartbreak,1,0.8260869565217391,46,12.826875000000001,21.333333333333332,0.03125,0.03125,0.015625,0.0,0.078125
26,dickens,tale_of_two_cities,Fate and History,0,0.8214285714285714,37,10.922857142857143,28.0,0.017857142857142856,0.0,0.0,0.0,0.14285714285714285
26,dickens,tale_of_two_cities,Fate and History,1,0.8214285714285714,39,11.133571428571429,28.0,0.017857142857142856,0.0,0.0,0.0,0.16071428571428573
43,austen,pride_and_prejudice,Pride and Prejudice,0,0.7209302325581395,45,6.727142857142859,14.0,0.0,0.011904761904761904,0.0,0.011904761904761904,0.07142857142857142
43,austen,pride_and_prejudice,Pride and Prejudice,1,0.9333333333333333,13,11.706666666666667,12.0,0.0,0.08333333333333333,0.16666666666666666,0.0,0.0
5,dickens,tale_of_two_cities,Fate and History,0,0.5142857142857142,102,13.562422062350123,30.88888888888889,0.01079136690647482,0.0,0.0035971223021582736,0.0035971223021582736,0.08992805755395683
5,dickens,tale_of_two_cities,Fate and History,1,0.5797101449275363,122,14.907596863468633,33.875,0.014760147601476014,0.01107011070110701,0.0036900369003690036,0.0036900369003690036,0.07011070110701106
50,austen,sense_and_sensibility,Logic vs Emotion,0,0.57,130,21.084026845637585,49.666666666666664,0.006711409395973154,0.0,0.0,0.0,0.11409395973154363
50,austen,sense_and_sensibility,Logic vs Emotion,1,0.568561872909699,129,21.03755892255892,49.5,0.006734006734006734,0.0,0.0,0.0,0.08417508417508418
39,dickens,great_expectations,Wealth vs Poverty,0,0.578125,79,13.948947368421056,38.0,0.005263157894736842,0.0,0.005263157894736842,0.0,0.11052631578947368
39,dickens,great_expectations,Wealth vs Poverty,1,0.8125,45,4.430000000000003,12.0,0.016666666666666666,0.016666666666666666,0.0,0.0,0.11666666666666667
16,dickens,great_expectations,Wealth vs Poverty,0,0.8888888888888888,43,4.352705882352943,10.2,0.0,0.0,0.0196078431372549,0.0,0.09803921568627451
16,dickens,great_expectations,Wealth vs Poverty,1,0.9428571428571428,31,4.794705882352943,11.333333333333334,0.0,0.0,0.029411764705882353,0.0,0.14705882352941177
14,dickens,oliver_twist,Innocence,0,0.645,104,8.917619047619052,21.77777777777778,0.01020408163265306,0.0,0.0,0.0,0.05102040816326531
14,dickens,oliver_twist,Innocence,1,0.8043478260869565,31,5.416363636363638,14.666666666666666,0.0,0.022727272727272728,0.0,0.0,0.022727272727272728
43,dickens,oliver_twist,Social Injustice,0,1.0,11,7.190000000000001,10.0,0.0,0.0,0.1,0.0,0.2
43,dickens,oliver_twist,Social Injustice,1,1.0,11,7.190000000000001,10.0,0.0,0.0,0.1,0.0,0.2
41,dickens,great_expectations,Coming of Age,0,0.8,10,8.353333333333339,15.0,0.0,0.0,0.0,0.0,0.06666666666666667
41,dickens,great_expectations,Coming of Age,1,1.0,18,9.785555555555558,18.0,0.0,0.0,0.0,0.0,0.0
24,dickens,tale_of_two_cities,Mob Mentality,0,0.7931034482758621,18,3.355714285714285,14.0,0.0,0.0,0.0,0.0,0.21428571428571427
24,dickens,tale_of_two_cities,Mob Mentality,1,0.8571428571428571,15,6.085714285714285,21.0,0.0,0.0,0.0,0.0,0.09523809523809523
2,dickens,oliver_twist,Innocence,0,0.7818181818181819,38,22.594545454545457,55.0,0.03636363636363636,0.0,0.0,0.0,0.07272727272727272
2,dickens,oliver_twist,Innocence,1,0.7647058823529411,45,12.930625000000003,32.0,0.0,0.03125,0.0,0.0,0.109375
17,dickens,tale_of_two_cities,Class Struggle and Revolution,0,1.0,8,3.7550000000000026,8.0,0.0,0.0,0.0,0.0,0.125
17,dickens,tale_of_two_cities,Class Struggle and Revolution,1,0.9375,14,9.087500000000002,16.0,0.0,0.0,0.0,0.0,0.125
14,austen,emma,Social Status,0,0.6982758620689655,64,11.393911504424779,22.6,0.008849557522123894,0.017699115044247787,0.008849557522123894,0.0,0.08849557522123894
14,austen,emma,Social Status,1,0.8392857142857143,41,11.096666666666668,18.0,0.0,0.0,0.018518518518518517,0.0,0.14814814814814814
45,austen,sense_and_sensibility,Logic vs Emotion,0,0.7448979591836735,58,16.53571428571429,32.666666666666664,0.01020408163265306,0.01020408163265306,0.0,0.0,0.05102040816326531
45,austen,sense_and_sensibility,Logic vs Emotion,1,0.7474747474747475,59,16.53571428571429,32.666666666666664,0.01020408163265306,0.01020408163265306,0.0,0.0,0.05102040816326531
12,dickens,oliver_twist,Institutional Cruelty,0,0.645,104,8.917619047619052,21.77777777777778,0.01020408163265306,0.0,0.0,0.0,0.05102040816326531
12,dickens,oliver_twist,Institutional Cruelty,1,0.8035714285714286,38,4.792285714285715,11.2,0.0,0.0,0.0,0.0,0.07142857142857142
19,dickens,tale_of_two_cities,Resurrection and Sacrifice,0,1.0,2,-3.01,2.0,0.0,0.0,0.5,0.0,0.0
19,dickens,tale_of_two_cities,Resurrection and Sacrifice,1,1.0,2,-3.01,2.0,0.0,0.0,0.5,0.0,0.0
33,dickens,great_expectations,Coming of Age,0,0.8285714285714286,26,2.3652941176470605,11.333333333333334,0.0,0.0,0.029411764705882353,0.0,0.08823529411764706
33,dickens,great_expectations,Coming of Age,1,0.8285714285714286,26,5.057857142857145,17.5,0.02857142857142857,0.0,0.02857142857142857,0.0,0.05714285714285714
36,austen,sense_and_sensibility,Logic vs Emotion,0,0.8771929824561403,45,6.650714285714287,18.666666666666668,0.03571428571428571,0.0,0.017857142857142856,0.0,0.05357142857142857
36,austen,sense_and_sensibility,Logic vs Emotion,1,0.8771929824561403,45,6.650714285714287,18.666666666666668,0.03571428571428571,0.0,0.017857142857142856,0.0,0.03571428571428571
19,dickens,oliver_twist,Poverty and the Lower Class,0,0.8484848484848485,24,5.768750000000001,16.0,0.0,0.0,0.0,0.0,0.125
19,dickens,oliver_twist,Poverty and the Lower Class,1,0.8787878787878788,25,6.137499999999999,16.0,0.0,0.0,0.0,0.0,0.125
21,dickens,tale_of_two_cities,Class Struggle and Revolution,0,0.6435643564356436,48,13.564329896907221,32.333333333333336,0.0,0.020618556701030927,0.0,0.0,0.08247422680412371
21,dickens,tale_of_two_cities,Class Struggle and Revolution,1,0.8333333333333334,30,9.673292682926832,20.5,0.0,0.0,0.0,0.0,0.12195121951219512
8,dickens,great_expectations,Coming of Age,0,0.9333333333333333,13,2.8466666666666676,15.0,0.0,0.0,0.0,0.0,0.2
8,dickens,great_expectations,Coming of Age,1,0.9230769230769231,11,4.91076923076923,13.0,0.0,0.0,0.07692307692307693,0.0,0.23076923076923078
24,dickens,tale_of_two_cities,Class Struggle and Revolution,0,0.8846153846153846,20,2.187692307692309,13.0,0.0,0.0,0.0,0.0,0.07692307692307693
24,dickens,tale_of_two_cities,Class Struggle and Revolution,1,0.9047619047619048,17,3.650000000000002,10.0,0.0,0.0,0.0,0.0,0.15
39,austen,emma,Friendship,0,0.8076923076923077,17,9.011666666666667,24.0,0.0,0.041666666666666664,0.0,0.0,0.041666666666666664
39,austen,emma,Friendship,1,0.8148148148148148,18,8.32,25.0,0.0,0.08,0.0,0.0,0.04
27,austen,emma,Female Independence,0,0.8064516129032258,21,10.663333333333338,30.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0
27,austen,emma,Female Independence,1,0.8064516129032258,21,10.663333333333338,30.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0
